#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-09-30T09:16:54 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ5249414e4699 
#INFO -out.max=9999 
#INFO queryParameters=22 
#-oc.form=sexa
#-out.max=9999
#-out.src=J/A+A/523/A58/table4
#-nav=cat:J/A+A/523/A58&tab:{J/A+A/523/A58/table4}&key:source=J/A+A/523/A58&HTTPPRM:&&-ref=VIZ5249414e4699&-out.max=9999&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=lambdaO&-out=lambdaT&-out=vl&-out=vu&-out=Omegal&-out=Omegau&-out=Jl&-out=Ju&-out=B&-out=A&-out=sA&-out=El&-out=Dlambda&-out=Blend&-out=Cl&-out=Comment&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/523/A58/table4
#-source=J/A+A/523/A58/table4
#-order=I
#-out=lambdaO
#-out=lambdaT
#-out=vl
#-out=vu
#-out=Omegal
#-out=Omegau
#-out=Jl
#-out=Ju
#-out=B
#-out=A
#-out=sA
#-out=El
#-out=Dlambda
#-out=Blend
#-out=Cl
#-out=Comment
#

#RESOURCE=yCat_35230058
#Name: J/A+A/523/A58
#Title: PDF Atlas and spectra of FeH molecule in LHS 2 (Wende+, 2010)
#Table J_A_A_523_A58_table4:
#Name: J/A+A/523/A58/table4
#Title: FeH line data (see the \aFile{J/A+A/523/A58/fehatlas.pdf}{PDF Atlas} and the \vGraph{J/A+A/523/A58/table2}{--bitmap-size=600x400}{spectra})
#---Details of Columns:
    lambdaO (0.1nm) (F10.4) Observed position (vacuum wavelength) [ucd=em.wl;phys.atmol.transition]
    lambdaT (0.1nm) (F10.4) Theoretical position (vacuum wavelength) [ucd=em.wl;phys.atmol.transition]
    vl              (I1)    Lower vibrational state [ucd=phys.atmol.configuration]
    vu              (I1)    Upper vibrational state [ucd=phys.atmol.configuration]
    Omegal          (F4.1)  Lower {Omega} [ucd=phys.atmol.qn]
    Omegau          (F4.1)  Upper {Omega} [ucd=phys.atmol.qn]
    Jl              (F4.1)  Lower rotational state [ucd=phys.mol.qn]
    Ju              (F4.1)  Upper rotational state [ucd=phys.mol.qn]
    B               (I1)    [1/3] Branch: 1=P-branch, 2=Q-branch, 3=R-branch [ucd=meta.code]
    A (s-1)         (F9.2)  Einstein A value [ucd=phys.atmol.transProb]
    sA              (F8.4)  Scaling factor for A [ucd=arith.factor]
    El (eV)         (F6.3)  Lower level energy [ucd=phys.energy;phys.atmol.level]
    Dlambda (0.1nm) (F7.4)  Position correction [ucd=arith.factor;pos]
    Blend           (F6.3)  Blend fraction [ucd=meta.code]
    Cl              (A2)    Classification of the line (1) [ucd=meta.code.class]
    Comment         (A17)   Comment, if the line is blended by and atomic feature, or if the classification of the line did not agree with the scaling factor of the Einstein A values (class {ne} s_A_) [ucd=meta.note]
---------- ---------- - - ---- ---- ---- ---- - --------- -------- ------ ------- ------ -- -----------------
                                                                          D                                  
lambd      lambd      v v Om   Om                                  E      lambda                             
aO (0.1nm) aT (0.1nm) l u egal egau Jl   Ju   B A (s-1)   sA       l (eV) (0.1nm) Blend  Cl Comment          
---------- ---------- - - ---- ---- ---- ---- - --------- -------- ------ ------- ------ -- -----------------
 9928.8651  9928.8794 0 0  2.5  1.5 12.5 11.5 1   5930.19   1.2229  0.153  0.0143  0.027 Q  
 9928.8651  9928.9090 0 0  1.5  1.5  9.5 10.5 3 471229.89   1.2229  0.137  0.0439  0.957 P  
 9929.4710  9929.5794 0 0  1.5  1.5  2.5  3.5 3 360302.01   1.5136  0.060  0.1084  1.000 P  
 9930.2213  9930.1809 3 4  1.5  1.5  9.5  8.5 1 145525.77   0.8753  0.761 -0.0404  0.052 R  
 9930.2213  9930.2401 0 0  3.5  3.5 20.5 21.5 3 476470.57   0.8753  0.311  0.0188  0.948 P  
 9931.5681  9931.5912 0 0  1.5  1.5  7.5  8.5 3 461161.01   1.2924  0.108  0.0231  1.000 P  
 9931.7724  9931.7293 1 2  3.5  3.5 33.5 34.5 3 174345.84   1.4535  1.050 -0.0431  0.132 P  
 9931.7724  9931.7885 0 0  2.5  2.5  3.5  4.5 3 317041.44   1.4535  0.036  0.0161  0.868 P  
 9932.5313  9932.5382 0 0  2.5  2.5  3.5  4.5 3 317057.93   1.1015  0.036  0.0069  1.000 P  
 9933.2628  9933.6433 0 0  2.5  2.5 13.5 14.5 3 468931.52   0.9826  0.176  0.3805  0.856 P  
 9933.2628  9933.6630 2 3  2.5  2.5 19.5 18.5 1 167297.78   0.9826  0.751  0.4002  0.107 P  
 9933.2628  9933.7025 3 4  0.5  0.5  7.5  6.5 1 152754.60   0.9826  0.770  0.4397  0.036 R  
 9935.2113  9935.2322 0 0  1.5  1.5  1.5  2.5 3 269046.03   1.3573  0.056  0.0209  1.000 P  
 9935.4715  9935.4593 0 0  1.5  1.5  1.5  2.5 3 269082.68   1.1137  0.056 -0.0122  0.959 P  
 9935.9799  9935.9923 0 0  3.5  3.5  9.5 10.5 3 431014.86   1.5630  0.066  0.0124  0.999 P  
 9936.4179  9936.3774 1 2  2.5  2.5 26.5 25.5 1 177657.43   0.8278  0.790 -0.0405  0.142 P  
 9936.4179  9936.4267 0 0  1.5  1.5 10.5 11.5 3 474806.14   0.8278  0.154  0.0088  0.858 P  
 9936.7126  9936.6835 0 0  3.5  2.5 15.5 14.5 1  17541.94   0.7628  0.176 -0.0291  0.075 Q  
 9936.7126  9936.7427 2 3  2.5  2.5 30.5 31.5 3 167515.74   0.7628  1.152  0.0301  0.047 P  
 9936.7126  9936.7921 0 0  3.5  3.5  9.5 10.5 3 430922.78   0.7628  0.066  0.0795  0.878 R  
 9937.3320  9937.2957 0 0  2.5  2.5 16.5 17.5 3 474098.72   1.2152  0.245 -0.0363  0.494 P  
 9937.3320  9937.3648 0 0  1.5  1.5  8.5  9.5 3 466843.65   1.2152  0.122  0.0328  0.452 R  class {ne} s_A_
 9937.3320  9937.4142 2 3  0.5  0.5 18.5 17.5 1 182742.43   1.2152  0.810  0.0822  0.054 P  
 9937.5458  9937.5425 0 0  3.5  3.5 22.5 23.5 3 478619.95   0.7422  0.373 -0.0033  1.000 P  
 9938.4370  9938.4018 1 2  3.5  3.5 37.5 38.5 3 177839.10   1.4312  1.236 -0.0352  1.000 P  
 9938.7687  9938.7969 0 0  2.5  2.5  2.5  3.5 3 218501.23   1.2456  0.030  0.0282  1.000 P  
 9938.9372  9938.9253 0 0  2.5  2.5  2.5  3.5 3 218523.37   1.0396  0.030 -0.0119  1.000 P  
 9941.1580  9941.1484 1 1  3.5  2.5 14.5 15.5 3   5375.33   4.2333  0.369 -0.0096  0.162 Q  
 9941.1580  9941.1780 2 3  2.5  2.5 26.5 27.5 3 163643.52   4.2333  1.003  0.0200  0.838 Pb 
 9941.4102  9941.3461 2 4  3.5  3.5 36.5 37.5 3  92200.41   0.0000  1.438 -0.0641  1.000 Q  
 9941.6212  9941.6327 0 0  2.5  2.5 14.5 15.5 3 471014.76   0.9978  0.199  0.0115  1.000 P  
 9942.4156  9942.3938 0 0  3.5  2.5 15.5 14.5 1  17626.74   1.0995  0.177 -0.0218  0.085 Q  
 9942.4156  9942.4234 0 0  3.5  3.5 21.5 22.5 3 477889.34   1.0995  0.343  0.0078  0.915 P  
 9942.9967  9942.9671 1 1  3.5  2.5 14.5 15.5 3   5454.71   1.6998  0.369 -0.0296  1.000 Q  
 9943.2137  9943.2934 2 3  1.5  1.5 29.5 30.5 3 172762.46   2.1253  1.166  0.0797  1.000 P  
 9943.3739  9943.3923 0 0  2.5  1.5 12.5 11.5 1   6072.37   3.6646  0.155  0.0184  0.678 Q  
 9943.3739  9943.4022 3 4  3.5  3.5 11.5 11.5 2  22108.87   3.6646  0.723  0.0283  0.322 Q  
 9944.5635  9944.5690 0 0  1.5  1.5  9.5 10.5 3 471277.36   1.0877  0.139  0.0055  1.000 P  
 9945.8280  9945.8251 0 0  1.5  1.5 11.5 12.5 3 477744.93   0.8717  0.173 -0.0029  0.998 P  
 9946.5884  9946.6363 3 4  3.5  3.5 19.5 20.5 3 133087.84   0.4083  0.899  0.0479  1.000 P  
 9947.1513  9947.1508 0 0  3.5  3.5  8.5  9.5 3 417983.83   1.3833  0.053 -0.0005  1.000 P  
 9947.3825  9947.2596 3 4  2.5  2.5 19.5 20.5 3 133149.08   0.0450  0.938 -0.1229  1.000 P  
 9947.6119  9947.6060 0 0  3.5  3.5  8.5  9.5 3 417900.35   1.4605  0.053 -0.0059  0.952 P  
 9947.6119  9947.6258 3 4  3.5  3.5  7.5  6.5 1 118786.36   1.4605  0.669  0.0139  0.047 R  class {ne} s_A_
 9947.9167  9947.9127 1 1  3.5  2.5 16.5 17.5 3   6142.43   1.9855  0.415 -0.0040  1.000 Q  
 9948.1378  9948.1403 0 0  2.5  2.5 17.5 18.5 3 475283.73   0.7277  0.271  0.0025  1.000 P  
 9948.4463  9948.4768 1 1  3.5  2.5 13.5 14.5 3   4941.44   0.0003  0.349  0.0305  1.000 Q  
 9949.7915  9949.7339 1 1  3.5  2.5 17.5 18.5 3   6479.26   4.6144  0.439 -0.0576  0.377 Q  
 9949.7915  9949.7834 0 0  2.5  1.5 13.5 12.5 1   6049.47   4.6144  0.174 -0.0081  0.623 Q  
 9950.6967  9950.7636 1 1  3.5  2.5 13.5 14.5 3   5072.60   9.2716  0.350  0.0669  1.000 Q  
 9950.8822  9950.8626 0 0  3.5  3.5 23.5 24.5 3 479683.82   0.6714  0.407 -0.0196  1.000 P  
 9951.4352  9951.5459 2 4  3.5  3.5 36.5 35.5 1  95891.02   1.8874  1.379  0.1107  1.000 Q  
 9951.8285  9951.8331 0 0  2.5  2.5 15.5 16.5 3 472750.13   0.8579  0.223  0.0046  1.000 P  blended with'Ti1'
 9952.3451  9952.3779 0 1  3.5  3.5 39.5 40.5 3 130750.34   0.5332  1.155  0.0328  1.000 P  
 9953.0687  9953.0812 0 0  1.5  1.5 10.5 11.5 3 474835.67   0.9466  0.156  0.0125  0.984 P  
 9953.3795  9953.2199 2 3  1.5  1.5 20.5 19.5 1 178267.23   0.2113  0.823 -0.1596  1.000 P  
 9953.7859  9953.8044 1 1  3.5  2.5 18.5 19.5 3   6788.88   3.8551  0.465  0.0185  1.000 Q  
 9954.0050  9954.0125 0 0  3.5  2.5 16.5 15.5 1  17783.63   2.6390  0.200  0.0075  1.000 Q  
 9954.7786  9954.7953 3 4  2.5  2.5 10.5  9.5 1 136472.13   1.1089  0.741  0.0167  1.000 P  
 9956.6223  9956.6587 0 0  3.5  3.5 22.5 23.5 3 479169.16   0.9114  0.376  0.0364  1.000 P  
 9956.9597  9956.8272 0 1  1.5  1.5 31.5 30.5 1 136915.35   0.0242  0.853 -0.1325  1.000 P  
 9957.3022  9957.3229 0 0  1.5  1.5 12.5 13.5 3 480203.18   0.8533  0.194  0.0207  0.942 P  
 9957.3022  9957.3923 3 4  1.5  1.5 10.5  9.5 1 145406.94   0.8533  0.777  0.0901  0.055 R  
 9957.6074  9957.4816 1 2  0.5  0.5 29.5 30.5 3 182289.17   0.8223  1.042 -0.1258  0.882 P  
 9957.6074  9957.5212 1 2  2.5  3.5 21.5 20.5 1   7189.88   0.8223  0.608 -0.0862  0.118 Q  
 9957.8520  9957.7394 1 1  3.5  2.5 17.5 18.5 3   6320.21   1.5703  0.440 -0.1126  1.000 Q  
 9959.3673  9959.3856 0 0  3.5  3.5  7.5  8.5 3 400151.71   1.3766  0.042  0.0183  1.000 P  
 9959.6186  9959.6237 0 0  3.5  3.5  7.5  8.5 3 400083.05   1.4457  0.042  0.0051  0.872 P  
 9959.6186  9959.6336 2 3  3.5  3.5 31.5 32.5 3 169178.01   1.4457  1.141  0.0150  0.056 P  
 9959.6186  9959.6634 3 4  2.5  2.5 10.5  9.5 1 136273.80   1.4457  0.741  0.0448  0.057 P  
 9960.6805  9960.6653 2 3  2.5  2.5 21.5 20.5 1 169792.49   0.0000  0.808 -0.0152  1.000 P  
 9960.9562  9960.9928 0 0  2.5  2.5 18.5 19.5 3 476302.88   0.7406  0.300  0.0366  1.000 P  
 9961.1205  9961.1317 0 0  3.5  2.5 16.5 15.5 1  17808.86   2.4504  0.201  0.0112  0.627 Q  
 9961.1205  9961.1416 3 4  1.5  1.5 20.5 21.5 3 138270.17   2.4504  1.013  0.0211  0.373 P  
 9962.8300  9962.8585 0 0  1.5  1.5 11.5 12.5 3 477757.38   0.9840  0.175  0.0285  0.988 P  
 9963.4001  9963.6625 1 2  1.5  1.5 25.5 24.5 1 185399.41   0.0485  0.804  0.2624  1.000 P  
 9963.7209  9963.7618 0 0  2.5  2.5 16.5 17.5 3 474225.01   0.9487  0.248  0.0409  1.000 P  
 9963.8976  9963.8909 2 3  3.5  3.5 24.5 24.5 2   5148.76   5.8445  0.872 -0.0067  0.243 Q  
 9963.8976  9963.9405 1 1  3.5  2.5 11.5 12.5 3   4166.56   5.8445  0.314  0.0429  0.757 Q  
 9964.3133  9964.3078 2 3  3.5  3.5 21.5 20.5 1 171306.54   5.6776  0.762 -0.0055  0.982 Pb 
 9964.6520  9964.6752 1 2  3.5  3.5 28.5 27.5 1 180282.27   0.7732  0.815  0.0232  0.258 P  
 9964.6520  9964.7348 0 0  1.5  1.5  1.5  1.5 2 606034.23   0.7732  0.056  0.0828  0.742 Q  
 9965.1136  9965.1817 0 0  3.5  3.5 24.5 25.5 3 480640.09   0.5600  0.442  0.0681  1.000 P  
 9967.2260  9967.1681 0 1  2.5  2.5 33.5 32.5 1 131285.22   2.4337  0.885 -0.0579  1.000 Pb 
 9967.4933  9967.3072 3 4  3.5  3.5  8.5  7.5 1 124687.09   0.1608  0.680 -0.1861  1.000 P  blended with'Ti1'
 9969.1001  9969.1057 0 0  1.5  1.5  2.5  2.5 2 260052.34   0.9829  0.060  0.0056  0.995 Q  
 9969.9344  9970.0003 2 3  3.5  3.5 27.5 28.5 3 166353.33   2.9578  0.991  0.0659  0.863 Pb 
 9969.9344  9970.0599 2 4  0.5  0.5 33.5 32.5 1 100117.65   2.9578  1.418  0.1255  0.137 Q  
 9970.3086  9970.5172 0 0  1.5  1.5  2.5  2.5 2 260039.62   0.9618  0.060  0.2086  1.000 Q  
 9970.7333  9970.8254 0 0  1.5  1.5 13.5 14.5 3 482288.22   0.7075  0.216  0.0921  1.000 P  
 9971.0086  9970.9646 0 0  3.5  2.5 30.5 31.5 3  11913.65   3.2541  0.702 -0.0440  1.000 Q  
 9971.3584  9971.2330 3 4  3.5  3.5 20.5 21.5 3 133513.67   2.6186  0.927 -0.1254  1.000 P  
 9975.2716  9975.2713 0 0  0.5  0.5  3.5  4.5 3 448591.17   0.9838  0.100 -0.0003  1.000 P  
 9975.7098  9975.7390 0 0  2.5  2.5 19.5 20.5 3 477189.10   0.7684  0.329  0.0292  0.996 P  
 9976.5928  9976.6049 0 0  0.5  0.5  5.5  6.5 3 465534.16   0.9342  0.118  0.0121  1.000 P  
 9976.7755  9976.7542 0 0  2.5  2.5 17.5 18.5 3 475501.85   0.4242  0.275 -0.0213  0.882 P  
 9976.7755  9976.7940 2 3  1.5  1.5 19.5 18.5 1 176959.38   0.4242  0.797  0.0185  0.107 P  
 9977.2167  9977.2817 2 3  0.5  0.5 18.5 17.5 1 182527.92   1.0725  0.811  0.0650  1.000 P  
 9978.2266  9978.1678 0 0  2.5  2.5  2.5  2.5 2 720826.12   1.3836  0.030 -0.0588  0.499 Q  
 9978.2266  9978.2275 0 0  2.5  2.5  2.5  2.5 2 720783.02   1.3836  0.030  0.0009  0.500 Q  
 9978.4405  9978.4466 0 0  1.5  1.5  3.5  3.5 2 144727.41   0.6644  0.066  0.0061  1.000 Q  
 9979.1096  9979.1436 0 0  0.5  0.5  2.5  3.5 3 432798.50   1.8311  0.093  0.0340  1.000 P  
 9979.6003  9979.5818 1 2  0.5  0.5 23.5 22.5 1 189336.24   0.6851  0.782 -0.0185  0.953 P  
 9981.5116  9981.4744 0 0  0.5  0.5  6.5  7.5 3 470655.44   0.9762  0.131 -0.0372  0.999 P  
 9981.8270  9981.8630 0 0  3.5  2.5 17.5 16.5 1  17878.62   2.9604  0.226  0.0360  1.000 Q  
 9982.6214  9982.5904 0 0  2.5  2.5  3.5  3.5 2 398094.75   1.2981  0.036 -0.0310  0.500 Q  
 9982.6214  9982.6103 0 0  2.5  2.5  3.5  3.5 2 398138.40   1.2981  0.036 -0.0111  0.500 Q  
 9983.1460  9983.2680 0 1  1.5  1.5 32.5 31.5 1 137566.79   1.1119  0.901  0.1220  1.000 P  
 9983.7701  9983.7365 0 0  1.5  1.5  4.5  4.5 2  92333.52   0.9472  0.074 -0.0336  1.000 Q  
 9985.9237  9985.9697 0 0  1.5  1.5 13.5 14.5 3 482275.57   0.3771  0.218  0.0460  0.950 P  
 9986.0981  9986.1093 0 0  0.5  0.5  1.5  2.5 3 404194.69   1.1615  0.089  0.0112  0.305 P  
 9986.0981  9986.1193 0 0  1.5  1.5 14.5 15.5 3 484075.73   1.1615  0.240  0.0212  0.695 P  
 9986.3292  9986.3287 0 0  3.5  3.5  5.5  6.5 3 337771.96   2.7044  0.023 -0.0005  0.501 P  
 9986.3292  9986.3387 0 0  3.5  3.5  5.5  6.5 3 337742.81   2.7044  0.023  0.0095  0.499 P  
 9986.5510  9986.4783 0 0  0.5  0.5  4.5  5.5 3 458682.21   0.6791  0.110 -0.0727  1.000 P  
 9988.0933  9988.1441 0 0  2.5  2.5  4.5  4.5 2 251513.39   3.0011  0.043  0.0508  0.967 Q  
 9988.0933  9988.1840 1 1  3.5  2.5 20.5 21.5 3   7341.12   3.0011  0.522  0.0907  0.033 Q  
 9988.3634  9988.3735 0 0  2.5  2.5  4.5  4.5 2 251556.15   0.2082  0.043  0.0101  0.357 Q  
 9988.3634  9988.3935 0 0  0.5  0.5  5.5  6.5 3 465625.57   0.2082  0.120  0.0301  0.548 P  
 9988.8451  9988.8724 0 0  0.5  0.5  7.5  8.5 3 474629.38   1.8356  0.144  0.0273  1.000 P  
 9991.1149  9991.0979 3 4  3.5  3.5  9.5  8.5 1 128491.45   1.3738  0.693 -0.0170  1.000 P  
 9991.3766  9991.5072 1 2  0.5  0.5 32.5 33.5 3 182963.21   1.4265  1.179  0.1306  1.000 P  
 9991.6601  9991.6669 0 0  3.5  3.5 24.5 25.5 3 481389.26   0.6597  0.446  0.0068  0.667 P  
 9991.6601  9991.7069 0 0  2.5  2.5  5.5  5.5 2 172718.80   0.6597  0.051  0.0468  0.333 Q  
 9991.8117  9991.9565 0 0  0.5  0.5  6.5  7.5 3 470751.26   1.0067  0.132  0.1448  1.000 P  
 9992.1081  9992.1162 3 4  2.5  2.5 11.5 10.5 1 136530.78   0.2431  0.758  0.0081  0.546 P  
 9992.1081  9992.1462 3 4  1.5  1.5 20.5 21.5 3 138161.11   0.2431  1.010  0.0381  0.454 P  
 9992.3969  9992.4357 0 0  2.5  1.5 14.5 13.5 1   6229.43   6.5298  0.199  0.0388  1.000 Q  
 9992.6685  9992.6854 0 0  2.5  2.5 20.5 21.5 3 477966.22   0.5371  0.361  0.0169  1.000 P  
 9992.8702  9992.8751 0 0  2.5  2.5 18.5 19.5 3 476625.54   0.7242  0.304  0.0049  1.000 P  
 9993.5741  9993.5442 0 0  0.5  0.5  1.5  2.5 3 404225.74   0.7049  0.090 -0.0299  0.623 P  
 9994.8161  9994.8327 0 0  2.5  2.5  5.5  5.5 2 172677.57   0.8376  0.051  0.0166  0.997 Q  
 9995.5658  9995.2722 0 0  0.5  0.5  0.5  1.5 3 337052.67   0.8323  0.086 -0.2936  1.000 P  
 9995.9170  9995.9317 2 3  2.5  2.5 31.5 32.5 3 167613.85   2.3168  1.197  0.0147  0.636 P  
 9995.9170  9995.9816 0 0  2.5  1.5 15.5 14.5 1   6234.61   2.3168  0.220  0.0646  0.364 Q  
 9996.1267  9996.1515 1 2  1.5  1.5 34.5 35.5 3 180635.24   6.4211  1.214  0.0248  0.869 Pb 
 9996.1267  9996.1915 0 1  2.5  3.5 29.5 28.5 1   5215.23   6.4211  0.700  0.0648  0.131 Q  
 9996.9627  9997.0209 3 4  1.5  1.5 11.5 10.5 1 145046.96   0.5486  0.794  0.0582  1.000 P  
 9997.6380  9997.9904 0 0  0.5  0.5  7.5  8.5 3 474724.05   0.9035  0.145  0.3524  0.947 P  
 9997.6380  9998.0504 3 4  0.5  0.5 20.5 21.5 3 139913.35   0.9035  1.058  0.4124  0.051 P  
 9998.5670  9998.5802 0 0  1.5  1.5  2.5  1.5 1 403498.30   0.9185  0.060  0.0132  0.281 P  
 9998.5670  9998.5802 0 0  0.5  0.5  8.5  9.5 3 477835.71   0.9185  0.160  0.0132  0.718 P  
